[0000003452ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000151
[0000003472ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000016
[0000003486ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003498ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000160
[0000003532ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000160
[0000003572ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000161
[0000003598ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000160
[0000003614ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000161
[0000003630ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000017
[0000003646ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003660ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000170
[0000003682ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000170
[0000003724ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000171
[0000003750ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000170
[0000003762ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000171
[0000003774ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000018
[0000003792ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003804ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000180
[0000003832ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000180
[0000003870ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000181
[0000003894ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000180
[0000003916ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000181
[0000003934ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000019
[0000003954ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003968ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000190
[0000003996ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000190
[0000004038ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000191
[0000004062ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000190
[0000004080ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000191
[0000004098ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001a
[0000004112ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004128ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001a0
[0000004160ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001a0
[0000004192ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001a1
[0000004214ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001a0
[0000004234ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001a1
[0000004246ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001b
[0000004260ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004276ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001b0
[0000004306ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001b0
[0000004350ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001b1
[0000004376ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001b0
[0000004398ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001b1
[0000004414ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001c
[0000004430ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004448ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001c0
[0000004484ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001c0
[0000004526ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001c1
[0000004554ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001c0
[0000004572ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001c1
[0000004588ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001d
[0000004600ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004618ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001d0
[0000004642ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001d0
[0000004676ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001d1
[0000004712ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001d0
[0000004726ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001d1
[0000004748ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001e
[0000004760ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004776ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001e0
[0000004800ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001e0
[0000004842ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001e1
[0000004868ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001e0
[0000004882ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001e1
[0000004894ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000001f
[0000004912ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000004930ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000001f0
[0000004958ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000001f0
[0000005000ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000001f1
[0000005024ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000001f0
[0000005040ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000001f1
[0000005052ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000020
[0000005068ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005080ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000200
[0000005114ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000200
[0000005150ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000201
[0000005180ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000200
[0000005192ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000201
[0000005210ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000021
[0000005226ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005246ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000210
[0000005270ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000210
[0000005310ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000211
[0000005340ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000210
[0000005352ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000211
[0000005368ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000022
[0000005386ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005398ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000220
[0000005438ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000220
[0000005478ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000221
[0000005500ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000220
[0000005512ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000221
[0000005530ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000023
[0000005546ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005562ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000230
[0000005590ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000230
[0000005632ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000231
[0000005660ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000230
[0000005678ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000231
[0000005694ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000024
